episode,timestamp,score,time_seconds
1,2025-07-15 21:58:12.671857,1,0
2,2025-07-15 21:58:12.830570,0,0
3,2025-07-15 21:58:13.037998,0,0
4,2025-07-15 21:58:13.296834,0,0
5,2025-07-15 21:58:13.451794,0,0
6,2025-07-15 21:58:14.802545,1,1
7,2025-07-15 21:58:16.361427,0,1
8,2025-07-15 21:58:17.818414,0,1
9,2025-07-15 21:58:21.289314,0,3
10,2025-07-15 21:58:22.948828,0,1
11,2025-07-15 21:58:23.989548,0,1
12,2025-07-15 21:58:29.391137,1,5
13,2025-07-15 21:58:31.055204,1,1
14,2025-07-15 21:58:31.733902,0,0
15,2025-07-15 21:58:35.777610,3,4
16,2025-07-15 21:58:35.935732,0,0
17,2025-07-15 21:58:41.596373,4,5
18,2025-07-15 21:58:41.752316,0,0
19,2025-07-15 21:58:45.370137,4,3
20,2025-07-15 21:58:49.727428,4,4
21,2025-07-15 21:58:56.770732,4,7
22,2025-07-15 21:59:03.093313,4,6
23,2025-07-15 21:59:08.067066,4,4
24,2025-07-15 21:59:11.581348,2,3
25,2025-07-15 21:59:12.567436,1,0
26,2025-07-15 21:59:17.743532,5,5
27,2025-07-15 21:59:23.773053,5,6
28,2025-07-15 21:59:23.929357,0,0
29,2025-07-15 21:59:24.655587,2,0
30,2025-07-15 21:59:27.714545,4,3
31,2025-07-15 21:59:27.923628,0,0
32,2025-07-15 21:59:33.115053,4,5
33,2025-07-15 21:59:37.927579,2,4
34,2025-07-15 21:59:39.067851,1,1
35,2025-07-15 21:59:42.902204,2,3
36,2025-07-15 21:59:47.835005,5,4
37,2025-07-15 21:59:48.304606,0,0
38,2025-07-15 21:59:52.536456,4,4
39,2025-07-15 21:59:59.020697,5,6
40,2025-07-15 22:00:01.556370,1,2
41,2025-07-15 22:00:01.711806,0,0
42,2025-07-15 22:00:04.204862,3,2
43,2025-07-15 22:00:08.546517,4,4
44,2025-07-15 22:00:10.969773,3,2
45,2025-07-15 22:00:12.233449,2,1
46,2025-07-15 22:00:12.386612,0,0
47,2025-07-15 22:00:12.539722,0,0
48,2025-07-15 22:00:12.742394,0,0
49,2025-07-15 22:00:16.485367,4,3
50,2025-07-15 22:00:17.347545,2,0
1,2025-07-16 14:32:52.056337,1,2
2,2025-07-16 14:32:53.830347,2,1
3,2025-07-16 14:32:54.876903,2,1
4,2025-07-16 14:32:57.991561,3,3
5,2025-07-16 14:33:04.396044,2,6
6,2025-07-16 14:33:09.261381,6,4
7,2025-07-16 14:33:15.367008,6,6
8,2025-07-16 14:33:19.554294,4,4
9,2025-07-16 14:33:23.589897,6,4
10,2025-07-16 14:33:27.119703,5,3
11,2025-07-16 14:33:31.423461,6,4
12,2025-07-16 14:33:36.607925,3,5
13,2025-07-16 14:33:38.371495,2,1
14,2025-07-16 14:33:39.930683,1,1
15,2025-07-16 14:33:45.890866,6,5
16,2025-07-16 14:33:48.953318,4,3
17,2025-07-16 14:33:52.317990,3,3
18,2025-07-16 14:33:53.610374,2,1
19,2025-07-16 14:34:00.232848,5,6
20,2025-07-16 14:34:06.077777,4,5
21,2025-07-16 14:34:11.404344,4,5
22,2025-07-16 14:34:13.061601,1,1
23,2025-07-16 14:34:17.676464,5,4
24,2025-07-16 14:34:20.208122,4,2
25,2025-07-16 14:34:27.040432,8,6
26,2025-07-16 14:34:28.645379,3,1
27,2025-07-16 14:34:30.663197,2,2
28,2025-07-16 14:34:32.782725,2,2
29,2025-07-16 14:34:37.045569,7,4
30,2025-07-16 14:34:40.247960,3,3
31,2025-07-16 14:34:45.235823,5,4
32,2025-07-16 14:34:49.575030,4,4
33,2025-07-16 14:34:55.836813,4,6
34,2025-07-16 14:35:03.791350,9,7
35,2025-07-16 14:35:12.046234,7,8
36,2025-07-16 14:35:19.103530,6,7
37,2025-07-16 14:35:21.660316,3,2
38,2025-07-16 14:35:27.049574,7,5
39,2025-07-16 14:35:29.751504,3,2
40,2025-07-16 14:35:35.290896,7,5
41,2025-07-16 14:35:39.229471,5,3
42,2025-07-16 14:35:40.689691,1,1
